politician,country,birth date,death date,political party,gender,Instagram followers,Instagram link,X followers,X link
Ebba Hermansson,Sweden,1996.0,,Sverigedemokraterna (Sweden),female,,,,
Marina Lovric Merzel,Croatia,1996.0,,Independent (Croatia),female,,,,
Ouiam Mahrachi,Morocco,1995.0,,Parti Authenticite Et Modernite (Morocco),female,,,,
Sylvia Masebo,Zambia,1994.0,,Patriotic Front (Zambia),female,,,,
Samira Marti,Switzerland,1994.0,,S (Switzerland),female,,,,
Mutinta C Mazoka,Zambia,1994.0,,United Party For National Development (Zambia),female,,,,
Chloe Swarbrick,New Zealand,1994.0,,Green Party (New Zealand),female,,,66133.0,_chloeswarbrick
Mhairi Black,United Kingdom,1994.0,,Scottish National Party (United Kingdom),female,,,247394.0,MhairiBlack
Tilde Bork,Denmark,1993.0,,The Danish People S Party (Denmark),female,,,546.0,TildeBork
Maria Monserrath Sobreyra Santos,Mexico,1993.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Francisca Mensah Oteng,Ghana,1993.0,,New Patriotic Party (Ghana),female,,,,
Kejdi Mehmetaj,Albania,1993.0,,,female,,,,
Ivana Tufegdzik,North Macedonia,1993.0,,Independent Mps (North Macedonia),female,,,,
Typhanie Degois,France,1993.0,,En Marche (France),female,,,3178.0,Typhanie_Degois
Proscovia Oromait Alengot,Uganda,1993.0,,National Resistance Movement (Uganda),female,,,,
Emilie Enger Mehl,Norway,1993.0,,Senterpartiet (Norway),female,,,,emiliemehl
Djuna Bernard,Luxembourg,1992.0,,Dei Greng (Luxembourg),female,,,,
Mara Mares,Romania,1992.0,,PNL (Romania),female,,,,
Magda Rasmusson,Sweden,1992.0,,Miljopartiet De Grona (Sweden),female,,,5403.0,magdarasmusson
Aylin Fazelian,Sweden,1992.0,,Socialdemokraterna (Sweden),female,,,,
Tie Fei Yan,China,1992.0,,,female,,,,
Marit Knutsdatter Strand,Norway,1992.0,,Senterpartiet (Norway),female,,,,
Eva Akerboom,Netherlands,1992.0,,Partij Voor De Dieren (Netherlands),female,,,,
Ida Ekeroth,Sweden,1991.0,,Socialdemokraterna (Sweden),female,,,,
Jessica Salazar Trejo,Mexico,1991.0,,Partido De La Revolucion Democratica (Mexico),female,,,,
Noria Manouchi,Sweden,1991.0,,Moderata Samlingspartiet (Sweden),female,,,,
Benedicte Peyrol,France,1991.0,,En Marche (France),female,,,6252.0,B_Peyrol
Cassandra Sundin,Sweden,1991.0,,Sverigedemokraterna (Sweden),female,,,,CassandraSundin
Barrios Slother Marialbert Juliana,Venezuela,1991.0,,MUD (Venezuela),female,,,,
